player_hand,dealer_upcard,can_double,result
6H-2C-AH,7H,0,stand
QC-9H,4S,1,stand
5S-10C,KH,1,hit
4C-5H,3H,1,double down
8D-QH,5H,1,stand
8H-JH,9S,1,stand
4H-KC,8D,1,hit
2C-4H,AC,1,hit
2C-4H-KS,AC,0,hit
4C-QH,3H,1,stand
KD-QC,5C,1,stand
8C-5D,4C,1,stand
5H-AS,AC,1,hit
5H-AS-5S,AC,0,stand
8S-5D,JD,1,hit
8S-5D-2D,JD,0,hit
QC-QS,KS,1,stand
10C-4C,JD,1,hit
10C-4C-2C,JD,0,hit
10D-3D,2H,1,stand
4C-7S,KH,1,double down
KC-3S,8S,1,hit
6S-3D,2H,1,hit
6S-3D-7C,2H,0,stand
6H-QS,2H,1,stand
9S-3S,9D,1,hit
9S-3S-7S,9D,0,stand
KS-10D,KC,1,stand
KH-7H,QC,1,stand
9C-10D,AD,1,stand
8C-JH,2D,1,stand
QS-QC,6C,1,stand
KH-KS,5C,1,stand
2D-3D,AC,1,hit
2D-3D-7H,AC,0,hit
2D-3D-7H-3H,AC,0,hit
2D-3D-7H-3H-5S,AC,0,stand
AC-8D,8S,1,stand
8C-QC,7S,1,stand
4H-2D,2H,1,hit
4H-2D-9D,2H,0,stand
KC-5S,5H,1,stand
7C-JD,8C,1,stand
JH-7H,9C,1,stand
JS-7D,9H,1,stand
9H-KS,4S,1,stand
6C-QC,4D,1,stand
AD-3C,6H,1,double down
6D-8D,2H,1,stand
2D-QH,2C,1,hit
2D-QH-7C,2C,0,stand
4D-9D,5D,1,stand
7C-6D,QH,1,hit
7C-6D-4C,QH,0,stand
3D-6D,9H,1,hit
3D-6D-10H,9H,0,stand
7C-8H,5C,1,stand
2D-JD,6S,1,stand
6S-JH,5H,1,stand
8S-KD,4S,1,stand
JH-8C,10H,1,stand
3H-6C,4D,1,double down
3S-2H,2C,1,hit
3S-2H-7C,2C,0,hit
3S-2H-7C-4S,2C,0,stand
3C-7H,8S,1,double down
4D-AC,2H,1,hit
4D-AC-7D,2H,0,hit
5H-4H,KH,1,hit
5H-4H-8C,KH,0,stand
7S-9C,QC,1,hit
JS-4C,6C,1,stand
10D-9H,9S,1,stand
QH-KD,8S,1,stand
9C-AS,8H,1,stand
9D-6D,8H,1,hit
9D-6D-2D,8H,0,stand
JH-2H,3C,1,hit
JH-2H-6D,3C,0,stand
5D-KC,QC,1,hit
3H-6C,5C,1,double down
3S-5S,5C,1,hit
3S-5S-AD,5C,0,stand
9S-4S,5C,1,stand
QS-2H,9H,1,hit
QS-2H-7D,9H,0,stand
2C-QD,5H,1,stand
6D-2D,10S,1,hit
6D-2D-QS,10S,0,stand
7D-4H,AC,1,double down
6H-2D,JS,1,hit
6H-2D-2S,JS,0,hit
6H-2D-2S-KD,JS,0,stand
6C-KS,9H,1,hit
6C-KS-2C,9H,0,stand
6C-5D,QD,1,double down
2D-QD,5H,1,stand
2S-3S,KS,1,hit
2S-3S-AH,KS,0,hit
2S-3S-AH-QS,KS,0,hit
7H-3D,10C,1,hit
7H-3D-AS,10C,0,stand
7D-2D,10C,1,hit
7D-2D-10S,10C,0,stand
10H-9C,AC,1,stand
7C-JH,AS,1,stand
9D-8D,AD,1,stand
5C-3S,5H,1,hit
5C-3S-7D,5H,0,stand
4C-2D,QD,1,hit
4C-2D-9D,QD,0,hit
4C-2D-9D-AC,QD,0,hit
3C-8D,5H,1,double down
2D-3C,QH,1,hit
2D-3C-2S,QH,0,hit
2D-3C-2S-10C,QH,0,stand
2D-5S,10C,1,hit
2D-5S-QC,10C,0,stand
7S-AD,QC,1,hit
7S-AD-6H,QC,0,hit
10S-5C,6H,1,stand
AC-8S,8C,1,stand
5C-4H,5D,1,double down
10D-4H,QD,1,hit
8S-QD,9C,1,stand
JS-8H,4D,1,stand
2S-8H,7S,1,double down
5H-8D,6C,1,stand
6S-7C,9D,1,hit
QS-3D,8C,1,hit
QS-3D-4H,8C,0,stand
5H-QD,7C,1,hit
5H-QD-3S,7C,0,stand
8S-4S,8C,1,hit
8S-4S-7D,8C,0,stand
8D-AH,8C,1,stand
3S-KH,7H,1,hit
KC-5S,3D,1,stand
6D-KD,3S,1,stand
3S-5S,4H,1,hit
3S-5S-4D,4H,0,stand
2H-4S,10C,1,hit
2H-4S-7D,10C,0,hit
7H-10S,3S,1,stand
7C-6D,JH,1,hit
7C-6D-8H,JH,0,stand
8H-6H,QH,1,hit
8S-KH,10D,1,stand
10S-4D,9D,1,hit
KD-QC,9C,1,stand
2D-10C,AH,1,hit
2D-10C-8D,AH,0,stand
10D-2D,JH,1,hit
2C-5D,6H,1,hit
2C-5D-7S,6H,0,stand
2D-5H,QH,1,hit
2D-5H-4H,QH,0,hit
2D-5H-4H-8H,QH,0,stand
5D-AD,KS,1,hit
5D-AD-QS,KS,0,hit
2S-7D,KD,1,hit
2S-7D-5C,KD,0,hit
QH-10S,KD,1,stand
8D-3H,3D,1,double down
QD-JH,7H,1,stand
10C-2H,AH,1,hit
7H-6C,8C,1,hit
2D-5S,7C,1,hit
2D-5S-6C,7C,0,hit
2D-5S-6C-2H,7C,0,hit
QH-8C,7C,1,stand
8D-KD,AH,1,stand
6C-10C,8D,1,hit
4D-3D,KH,1,hit
4D-3D-3H,KH,0,hit
4D-3D-3H-8D,KH,0,stand
AD-6D,7H,1,hit
AD-6D-8H,7H,0,hit
4C-10S,8S,1,hit
6C-7D,3C,1,stand
7C-10H,5S,1,stand
5C-3C,QH,1,hit
5C-3C-7D,QH,0,hit
6H-AD,AS,1,hit
6H-AD-QD,AS,0,stand
6D-KD,KS,1,hit
6D-KD-AD,KS,0,stand
4S-7D,JS,1,double down
JD-7H,10D,1,stand
7C-6C,3S,1,stand
5C-2H,JD,1,hit
5C-2H-KS,JD,0,stand
JC-5H,3D,1,stand
8S-2C,9H,1,double down
2S-6D,5H,1,hit
2S-6D-QH,5H,0,stand
JH-JC,8H,1,stand
3D-QS,9H,1,hit
6D-5D,9H,1,double down
5H-9H,AC,1,hit
4D-AC,3C,1,hit
4D-AC-7D,3C,0,hit
4D-4C,9C,1,hit
4D-4C-2C,9C,0,hit
