player_hand,dealer_upcard,can_double,result
6C-AH-3D,JH,0,stand
2S-JH,QD,1,hit
2S-JH-8S,QD,0,stand
JD-5D,8D,1,hit
5D-8S,QD,1,hit
5D-8S-5S,QD,0,stand
9C-QC,JH,1,stand
QH-10H,JH,1,stand
AC-6H,5D,1,double down
4H-6C,5C,1,double down
8D-7C,AH,1,hit
9D-KS,4D,1,stand
AD-9H,10C,1,stand
4D-JC,7H,1,hit
QD-9C,10D,1,stand
2S-5H,KH,1,hit
2S-5H-AS,KH,0,hit
2S-5H-AS-6D,KH,0,hit
7D-3H,3S,1,double down
2D-8S,5C,1,double down
8C-2H,4D,1,double down
3C-6C,2H,1,hit
3C-6C-4H,2H,0,stand
2S-JD,7H,1,hit
2S-JD-AH,7H,0,hit
2C-AH,QH,1,hit
2C-AH-3D,QH,0,hit
2C-AH-3D-5D,QH,0,stand
2H-7C,JS,1,hit
2H-7C-2S,JS,0,hit
2H-7C-2S-6S,JS,0,stand
3H-8C,2S,1,double down
4D-2D,6H,1,hit
4D-2D-5D,6H,0,hit
4D-2D-5D-8S,6H,0,stand
4S-2H,6H,1,hit
4S-2H-4C,6H,0,hit
4S-2H-4C-9H,6H,0,stand
6S-4H,7S,1,double down
6H-KC,2C,1,stand
9C-9H,JH,1,stand
3S-JH,QD,1,hit
3C-QD,AD,1,hit
3C-QD-6H,AD,0,stand
10S-6C,6H,1,stand
5H-9S,8C,1,hit
5H-9S-6H,8C,0,stand
10S-JC,KC,1,stand
2S-3S,7C,1,hit
2S-3S-KH,7C,0,hit
JS-7C,KH,1,stand
5D-7S,AC,1,hit
5D-7S-3C,AC,0,hit
3C-9H,AH,1,hit
3C-9H-6S,AH,0,stand
KS-3C,5D,1,stand
3S-9S,5H,1,stand
5S-AS,AD,1,hit
5S-AS-8H,AD,0,hit
4C-JS,8H,1,hit
10S-8D,2D,1,stand
5D-3H,AS,1,hit
5D-3H-8H,AS,0,hit
5D-3H-8H-2H,AS,0,stand
AS-9D,10D,1,stand
3C-4H,8C,1,hit
3C-4H-KC,8C,0,stand
JH-9S,7H,1,stand
4H-JH,4D,1,stand
3C-2S,QD,1,hit
3C-2S-JH,QD,0,hit
KH-9H,8C,1,stand
2S-QS,5H,1,stand
3S-8S,7C,1,double down
7H-8S,AD,1,hit
AD-3H,2D,1,hit
AD-3H-6C,2D,0,stand
4D-2H,4H,1,hit
4D-2H-QH,4H,0,stand
7C-AH,8H,1,stand
4H-KC,QS,1,hit
4H-KC-4C,QS,0,stand
10C-3H,7H,1,hit
10C-3H-7C,7H,0,stand
5D-AD,7C,1,hit
5D-AD-8H,7C,0,hit
5D-AD-8H-4H,7C,0,stand
4H-10H,7C,1,hit
3S-5S,8S,1,hit
3S-5S-8C,8S,0,hit
3S-5S-8C-3D,8S,0,stand
10C-6H,QC,1,hit
10C-6H-5D,QC,0,stand
JH-JC,10C,1,stand
4C-7H,7D,1,double down
8H-6S,6D,1,stand
8D-5C,4S,1,stand
AC-6D,7C,1,hit
AC-6D-KS,7C,0,stand
8S-9C,KS,1,stand
4S-AC,4C,1,double down
KC-9S,4S,1,stand
3H-7C,2H,1,double down
2S-5H,9H,1,hit
2S-5H-7S,9H,0,hit
2S-5H-7S-6D,9H,0,stand
9C-9D,KD,1,stand
3S-6H,5C,1,double down
10S-QH,KD,1,stand
3C-AH,5D,1,double down
8H-10D,KS,1,stand
9C-QC,5D,1,stand
3D-QH,8S,1,hit
3D-QH-5D,8S,0,stand
5H-KH,JH,1,hit
5H-KH-3S,JH,0,stand
AH-6S,QS,1,hit
AH-6S-3D,QS,0,stand
KH-4C,8H,1,hit
3C-7H,6H,1,double down
2H-4D,5C,1,hit
2H-4D-4H,5C,0,hit
2H-4D-4H-10D,5C,0,stand
JC-JD,8D,1,stand
KS-2C,6S,1,stand
QD-10D,4C,1,stand
QD-5H,8D,1,hit
2S-4H,8C,1,hit
2S-4H-10C,8C,0,hit
6S-9S,7D,1,hit
4S-7C,KD,1,double down
6D-10C,7S,1,hit
2D-8D,JD,1,hit
2D-8D-7S,JD,0,stand
KD-10C,6S,1,stand
4H-5H,7C,1,hit
4H-5H-2S,7C,0,hit
4H-5H-2S-9C,7C,0,stand
2S-6D,4S,1,hit
2S-6D-JC,4S,0,stand
6S-2C,5C,1,hit
6S-2C-JH,5C,0,stand
7C-QD,QH,1,stand
9D-KH,8D,1,stand
AC-9D,2S,1,stand
9D-AD,3C,1,stand
9H-3S,AS,1,hit
9H-3S-AH,AS,0,hit
9H-3S-AH-7S,AS,0,stand
6C-8H,4S,1,stand
9H-6D,4C,1,stand
5D-7C,2H,1,hit
JS-5D,8C,1,hit
5C-2H,KS,1,hit
5C-2H-AC,KS,0,hit
5C-2H-AC-7H,KS,0,hit
5C-2H-AC-7H-3S,KS,0,stand
8S-3D,QD,1,double down
JC-4D,7C,1,hit
JC-4D-3C,7C,0,stand
2D-JS,3D,1,hit
2D-JS-3H,3D,0,stand
KS-JC,9D,1,stand
6S-JC,5D,1,stand
7D-QD,AS,1,stand
AS-8H,QH,1,stand
2S-AD,9H,1,hit
2S-AD-3H,9H,0,hit
2S-AD-3H-6S,9H,0,hit
2S-AD-3H-6S-8C,9H,0,stand
8D-3C,9H,1,double down
5C-4S,3S,1,double down
7D-AD,JH,1,hit
7D-AD-QH,JH,0,stand
8D-10D,5D,1,stand
QD-QC,5H,1,stand
9H-JD,KD,1,stand
7S-3S,QD,1,hit
7S-3S-10H,QD,0,stand
4S-8D,6C,1,stand
2S-4S,4H,1,hit
2S-4S-KC,4H,0,stand
8D-7H,4D,1,stand
10H-10D,10S,1,stand
6C-10S,9D,1,hit
6C-10S-4H,9D,0,stand
4C-QS,5D,1,stand
8D-7D,3S,1,stand
8S-6C,KD,1,hit
JC-5D,KC,1,hit
JC-5D-6H,KC,0,stand
KD-7H,JS,1,stand
KH-4C,8S,1,hit
KH-4C-3S,8S,0,stand
QS-KS,JD,1,stand
2H-7C,4D,1,double down
4S-6D,QH,1,hit
4S-6D-9H,QH,0,stand
5S-KD,6H,1,stand
8S-9D,AH,1,stand
2H-KC,KS,1,hit
2H-KC-AS,KS,0,hit
2H-KC-AS-8C,KS,0,stand
9D-10S,QH,1,stand
6H-JS,3H,1,stand
AC-7H,2S,1,double down
JH-KS,QS,1,stand
4C-9S,10H,1,hit
4C-9S-2D,10H,0,hit
4C-9S-2D-6C,10H,0,stand
QD-KS,8H,1,stand
4D-JD,5C,1,stand
JD-KC,5D,1,stand
8H-2C,9S,1,double down
4C-KD,3S,1,stand
3C-6S,5C,1,double down
6H-7H,5D,1,stand
QC-6S,5S,1,stand
9H-QC,10C,1,stand
3C-4S,7C,1,hit
3C-4S-QH,7C,0,stand
6C-QC,4C,1,stand
4S-3D,KH,1,hit
4S-3D-10S,KH,0,stand
4D-3S,QS,1,hit
4D-3S-10D,QS,0,stand
JS-5H,QC,1,hit
3C-5D,8D,1,hit
3C-5D-5C,8D,0,hit
3C-5D-5C-4H,8D,0,stand
4D-JD,QC,1,hit
4D-JD-7C,QC,0,stand
8D-5C,10H,1,hit
8S-6C,10H,1,hit
8S-6C-5D,10H,0,stand
AH-7H,7C,1,stand
3H-5D,2D,1,hit
3H-5D-5S,2D,0,stand
3D-AC,2D,1,hit
3D-AC-JC,2D,0,stand
JS-2H,AD,1,hit
JS-2H-AC,AD,0,hit
JS-2H-AC-8S,AD,0,stand
JH-2S,5S,1,stand
3S-7S,5C,1,double down
KH-9D,JC,1,stand
10D-KS,3S,1,stand
3H-JS,4H,1,stand
6C-8S,QH,1,hit
6C-8S-AH,QH,0,hit
QH-2H,2D,1,hit
QH-2H-9H,2D,0,stand
4H-4C,7H,1,hit
4H-4C-QC,7H,0,stand
QC-7S,4H,1,stand
7S-QD,4S,1,stand
4H-8C,3C,1,hit
7D-9H,JD,1,hit
7D-9H-5C,JD,0,stand
7S-2C,2D,1,hit
7S-2C-4S,2D,0,stand
9H-2S,3S,1,double down
4C-AH,8S,1,hit
4C-AH-QC,8S,0,hit
7C-10H,9H,1,stand
7S-10D,5C,1,stand
7C-KD,8C,1,stand
3H-10H,4D,1,stand
5H-7C,2D,1,hit
5H-7C-AH,2D,0,stand
JH-7H,10H,1,stand
KC-KS,3C,1,stand
5C-10C,6H,1,stand
KD-7S,9C,1,stand
2H-4S,KD,1,hit
2H-4S-10D,KD,0,hit
3H-7C,10D,1,hit
3H-7C-KS,10D,0,stand
JS-2D,QS,1,hit
2H-3C,AS,1,hit
2H-3C-4C,AS,0,hit
2H-3C-4C-8S,AS,0,stand
AD-4H,5C,1,double down
7S-3S,10H,1,hit
7S-3S-3H,10H,0,hit
7S-3S-3H-AC,10H,0,hit
7S-3S-3H-AC-5C,10H,0,stand
3S-9H,2D,1,hit
3S-9H-5D,2D,0,stand
6H-9H,AC,1,hit
6H-9H-3S,AC,0,stand
5C-2H,8D,1,hit
5C-2H-4S,8D,0,hit
5C-2H-4S-3S,8D,0,hit
5C-2H-4S-3S-7C,8D,0,stand
7H-JS,5C,1,stand
2C-7S,2H,1,hit
2C-7S-QD,2H,0,stand
5C-9D,KS,1,hit
10D-10S,3H,1,stand
5S-7S,5C,1,stand
10S-KC,2C,1,stand
4H-10S,KH,1,hit
9D-KD,JH,1,stand
8D-9H,3S,1,stand
7C-4H,8D,1,double down
JD-QS,9D,1,stand
6D-JS,4S,1,stand
3H-KH,10D,1,hit
3H-KH-2S,10D,0,hit
AH-3S,JD,1,hit
AH-3S-10C,JD,0,hit
AH-3S-10C-2H,JD,0,hit
AH-3S-10C-2H-5C,JD,0,stand
JH-8D,6C,1,stand
KS-5H,6C,1,stand
10H-6H,8C,1,hit
10C-2C,5D,1,stand
KD-9H,KC,1,stand
7C-QC,10C,1,stand
8C-3D,JS,1,double down
8S-QH,JS,1,stand
4D-10H,10D,1,hit
4D-10H-2C,10D,0,hit
4C-6C,2S,1,double down
9D-8C,9C,1,stand
6C-AD,QH,1,hit
6C-AD-3S,QH,0,stand
5D-10H,5C,1,stand
KH-5H,JH,1,hit
9H-KD,6C,1,stand
2D-3H,AS,1,hit
2D-3H-QS,AS,0,hit
KD-2S,6D,1,stand
7D-8H,3C,1,stand
JS-7C,4C,1,stand
QD-10C,5D,1,stand
5H-KC,6H,1,stand
6C-4H,KC,1,hit
6C-4H-10S,KC,0,stand
6S-AD,4C,1,double down
3C-6H,4S,1,double down
3C-7C,9D,1,double down
QD-9S,10S,1,stand
QH-QS,9C,1,stand
AD-3D,5H,1,double down
6C-8C,9D,1,hit
6C-8C-5D,9D,0,stand
QC-5C,9H,1,hit
10H-5C,2D,1,stand
2D-QC,7C,1,hit
3D-6S,2C,1,hit
3D-6S-10H,2C,0,stand
8D-4S,5S,1,stand
KS-10C,6H,1,stand
3C-KS,AC,1,hit
3C-KS-8D,AC,0,stand
JH-4C,4H,1,stand
5S-JC,6C,1,stand
KD-5C,6C,1,stand
2H-9H,10H,1,double down
KS-9D,3H,1,stand
10D-2S,4D,1,stand
JC-KH,JH,1,stand
4C-2C,10D,1,hit
4C-2C-10H,10D,0,hit
JD-6D,4C,1,stand
8C-2S,4H,1,double down
3S-10S,AD,1,hit
3S-10S-8S,AD,0,stand
3H-6C,9H,1,hit
3H-6C-5S,9H,0,hit
5D-QC,QS,1,hit
5D-2C,10H,1,hit
5D-2C-AS,10H,0,hit
5D-2C-AS-KD,10H,0,stand
2D-QS,9C,1,hit
2D-QS-7D,9C,0,stand
7H-KC,JC,1,stand
4D-QC,3S,1,stand
4H-7S,AC,1,double down
10C-QH,3D,1,stand
9C-8H,8S,1,stand
8D-3S,9H,1,double down
7H-8C,8H,1,hit
7H-8C-AH,8H,0,hit
2H-KC,4S,1,stand
AD-9C,QD,1,stand
9H-KS,7H,1,stand
4D-9H,6H,1,stand
6H-7C,KS,1,hit
6H-7C-4D,KS,0,stand
10S-QH,KD,1,stand
JH-5D,8C,1,hit
JH-5D-2S,8C,0,stand
6C-QS,5C,1,stand
KD-9D,9H,1,stand
7H-KH,10C,1,stand
4C-8D,9C,1,hit
4C-8D-6D,9C,0,stand
9H-QC,8D,1,stand
6C-6S,7S,1,hit
6C-6S-AC,7S,0,hit
8S-AC,10S,1,stand
5D-10D,QC,1,hit
5D-10D-3S,QC,0,stand
8H-QD,9D,1,stand
3S-4S,5D,1,hit
3S-4S-9C,5D,0,stand
4S-5D,7H,1,hit
4S-5D-2D,7H,0,hit
4S-5D-2D-JH,7H,0,stand
7C-4H,JS,1,double down
5H-7C,2H,1,hit
5H-7C-6D,2H,0,stand
4C-6S,AS,1,hit
4C-6S-4S,AS,0,hit
7D-AH,JS,1,hit
7D-AH-JD,JS,0,stand
9S-KC,AH,1,stand
10C-4C,JD,1,hit
10C-4C-3S,JD,0,stand
6S-7D,6C,1,stand
5S-9C,9D,1,hit
QC-8C,KS,1,stand
3C-10C,JD,1,hit
JD-4D,2H,1,stand
QH-KD,3D,1,stand
QC-6D,4C,1,stand
2S-9H,2D,1,double down
JD-3S,KH,1,hit
2H-6H,3H,1,hit
2H-6H-KD,3H,0,stand
6D-2H,AD,1,hit
6D-2H-KS,AD,0,stand
6S-AH,KC,1,hit
6S-AH-2S,KC,0,stand
QC-JC,JS,1,stand
4D-3C,7D,1,hit
4D-3C-AS,7D,0,stand
9C-10H,JS,1,stand
8S-4S,9S,1,hit
2D-AH,6D,1,double down
3C-7H,2S,1,double down
2C-8S,5C,1,double down
3H-7S,QD,1,hit
3H-7S-6D,QD,0,hit
7C-9S,10D,1,hit
2H-6H,JS,1,hit
2H-6H-4D,JS,0,hit
2H-6H-4D-5H,JS,0,stand
8C-AS,2D,1,stand
7S-4D,QD,1,double down
4C-JS,2S,1,stand
QS-JS,10H,1,stand
AH-3D,2D,1,hit
AH-3D-7S,2D,0,stand
9S-KC,3C,1,stand
6S-KH,7H,1,hit
6S-KH-5S,7H,0,stand
6D-4D,7H,1,double down
AH-4D,4S,1,double down
KS-6D,9H,1,hit
10D-8D,8C,1,stand
2S-4H,9C,1,hit
2S-4H-AD,9C,0,hit
2S-4H-AD-2C,9C,0,stand
8H-AH,7D,1,stand
8C-QC,9H,1,stand
6H-10S,9D,1,hit
6H-10S-4D,9D,0,stand
5C-6D,10D,1,double down
JC-JS,7C,1,stand
8C-4H,7D,1,hit
8C-4H-9S,7D,0,stand
8H-6D,7D,1,hit
5H-3S,2H,1,hit
5H-3S-7H,2H,0,stand
9H-3H,9C,1,hit
9H-3H-8H,9C,0,stand
8C-7S,8H,1,hit
8C-7S-AH,8H,0,hit
8D-9S,2H,1,stand
10D-JD,3D,1,stand
QS-7S,3H,1,stand
JD-KS,5H,1,stand
10H-8S,6S,1,stand
5C-3C,6C,1,hit
5C-3C-5S,6C,0,stand
3D-AH,4D,1,hit
3D-AH-7C,4D,0,stand
8C-QD,2C,1,stand
7D-4S,KS,1,double down
9C-AS,10D,1,stand
AC-9D,KC,1,stand
6C-QH,2D,1,stand
AH-7H,QC,1,hit
AH-7H-QS,QC,0,stand
8D-AD,8H,1,stand
QS-QC,6S,1,stand
9H-2H,AS,1,double down
KS-9C,QS,1,stand
9S-KS,2C,1,stand
8H-QD,9S,1,stand
3C-QS,4S,1,stand
9S-7S,5C,1,stand
5C-10C,KH,1,hit
3H-4C,9D,1,hit
3H-4C-AS,9D,0,hit
3H-4C-AS-9C,9D,0,stand
KH-5D,5S,1,stand
2H-3D,3C,1,hit
2H-3D-8D,3C,0,stand
JC-9D,9C,1,stand
QS-8C,QC,1,stand
2D-9S,3C,1,double down
9S-QD,4D,1,stand
2D-10H,2H,1,hit
9C-9S,KC,1,stand
KH-KS,9C,1,stand
9H-10H,5C,1,stand
KS-6D,AS,1,hit
KS-6D-2H,AS,0,stand
10H-2C,7H,1,hit
2H-3C,7C,1,hit
2H-3C-5D,7C,0,hit
2H-3C-5D-9D,7C,0,stand
AC-2D,3C,1,hit
AC-2D-10H,3C,0,stand
7S-9D,5D,1,stand
2S-6C,KH,1,hit
2S-6C-KC,KH,0,stand
5S-8S,QC,1,hit
5S-8S-3S,QC,0,hit
JD-2C,2S,1,hit
JD-2C-3H,2S,0,stand
8D-JD,9D,1,stand
6S-7D,3H,1,stand
6D-7S,3H,1,stand
8D-7C,AC,1,hit
KD-9H,3S,1,stand
3D-2C,10H,1,hit
3D-2C-8S,10H,0,hit
3D-2C-8S-3H,10H,0,hit
3S-JS,2C,1,stand
5H-AH,QC,1,hit
5H-AH-7H,QC,0,hit
7H-AC,8H,1,stand
7H-8H,10H,1,hit
7H-8H-2H,10H,0,stand
5H-6H,4S,1,double down
QH-5C,JS,1,hit
8H-6D,KD,1,hit
2S-QD,3S,1,hit
4S-QC,JD,1,hit
QD-KH,AC,1,stand
9C-8C,2S,1,stand
KH-7D,KS,1,stand
QH-3S,2S,1,stand
AH-8D,3S,1,stand
9D-6D,3S,1,stand
4D-7S,7H,1,double down
10H-KD,4S,1,stand
9D-2S,AH,1,double down
10D-9S,QS,1,stand
JH-5C,10C,1,hit
9H-9D,JS,1,stand
2C-8S,9C,1,double down
JC-4S,JD,1,hit
5D-7C,6D,1,stand
3C-6H,JS,1,hit
3C-6H-KS,JS,0,stand
KD-QS,AC,1,stand
7H-6C,4H,1,stand
3S-5H,10H,1,hit
3S-5H-6D,10H,0,hit
9S-8C,7H,1,stand
3S-QD,5C,1,stand
AH-2D,3C,1,hit
AH-2D-8C,3C,0,stand
8S-KH,QC,1,stand
9C-7C,9D,1,hit
9C-7C-3C,9D,0,stand
5D-2S,6C,1,hit
5D-2S-JS,6C,0,stand
QC-2H,AD,1,hit
2S-KC,KD,1,hit
2S-KC-8S,KD,0,stand
KS-JC,8H,1,stand
9H-8C,3D,1,stand
JD-QH,10D,1,stand
8H-6D,4D,1,stand
8H-2H,9D,1,double down
KH-4D,5S,1,stand
9D-10S,5D,1,stand
QD-JH,7C,1,stand
10D-9S,KC,1,stand
2H-7D,3C,1,double down
3S-8H,AC,1,double down
JD-KH,QD,1,stand
2D-9C,8S,1,double down
6S-8C,QH,1,hit
10H-8D,10S,1,stand
2S-2H,JH,1,hit
2S-2H-JC,JH,0,hit
9D-7S,QH,1,hit
4H-2H,8C,1,hit
4H-2H-7D,8C,0,hit
4H-2H-7D-7S,8C,0,stand
KS-6H,2H,1,stand
10C-QH,KC,1,stand
AH-9C,6S,1,stand
9D-5S,10C,1,hit
9D-5S-4C,10C,0,stand
8C-6D,2H,1,stand
6S-4C,10D,1,hit
6S-4C-5S,10D,0,hit
6S-4C-5S-2H,10D,0,stand
2S-8C,7H,1,double down
6S-7D,2C,1,stand
9H-2D,QH,1,double down
KH-6H,QS,1,hit
KH-6H-4D,QS,0,stand
6H-AD,KH,1,hit
6H-AD-4C,KH,0,stand
6H-8H,6S,1,stand
7H-QC,2C,1,stand
JH-KC,7C,1,stand
4C-2C,6C,1,hit
4C-2C-JD,6C,0,stand
8S-JD,7C,1,stand
5S-AD,2C,1,hit
5S-AD-7D,2C,0,stand
4S-2H,QC,1,hit
4S-2H-KH,QC,0,hit
4S-2H-KH-5H,QC,0,stand
KH-2S,4S,1,stand
8C-3H,8H,1,double down
7D-4S,KH,1,double down
2S-8D,10C,1,hit
2S-8D-5H,10C,0,hit
2S-8D-5H-6H,10C,0,stand
AC-6C,7C,1,hit
AC-6C-2C,7C,0,stand
2H-JH,5S,1,stand
2S-10H,JS,1,hit
2S-10H-7S,JS,0,stand
9H-9D,10C,1,stand
6D-3C,KC,1,hit
6D-3C-7D,KC,0,hit
6D-3C-7D-4S,KC,0,stand
AH-9D,6H,1,stand
6D-AC,KS,1,hit
6D-AC-JS,KS,0,stand
JD-KH,8D,1,stand
6H-AS,4H,1,double down
9D-8C,QD,1,stand
2D-3S,QD,1,hit
2D-3S-7S,QD,0,hit
2D-3S-7S-AC,QD,0,hit
9D-5S,8H,1,hit
3H-4C,JC,1,hit
3H-4C-5H,JC,0,hit
3H-4C-5H-7S,JC,0,stand
10H-2H,4D,1,stand
KD-10H,10S,1,stand
4S-7H,JC,1,double down
3C-AH,2D,1,hit
3C-AH-4S,2D,0,stand
6C-KC,3C,1,stand
KD-QC,QS,1,stand
3S-2C,8D,1,hit
3S-2C-9H,8D,0,hit
QD-KS,3D,1,stand
JH-6C,7S,1,hit
JH-6C-2H,7S,0,stand
8C-3S,JS,1,double down
10H-5H,QC,1,hit
JD-KC,2D,1,stand
AC-6D,QS,1,hit
AC-6D-8D,QS,0,hit
AC-6D-8D-4H,QS,0,stand
6S-3S,KH,1,hit
6S-3S-6C,KH,0,hit
6S-3S-6C-AH,KH,0,hit
4S-10S,JH,1,hit
4S-10S-7S,JH,0,stand
JD-QH,5H,1,stand
2D-8C,QS,1,hit
2D-8C-6C,QS,0,hit
2D-8C-6C-AD,QS,0,stand
10C-8C,7S,1,stand
6S-4H,9D,1,double down
QH-2S,6H,1,stand
2C-6S,9C,1,hit
2C-6S-KC,9C,0,stand
8D-KS,2H,1,stand
3C-8S,4C,1,double down
10D-KH,QD,1,stand
10C-9C,QC,1,stand
4S-7H,4H,1,double down
2C-JH,9D,1,hit
2C-JH-AC,9D,0,hit
2C-JH-AC-6H,9D,0,stand
QH-9S,2D,1,stand
KD-JC,7D,1,stand
2D-4D,6C,1,hit
2D-4D-8C,6C,0,stand
9C-2H,6D,1,double down
KC-4S,9H,1,hit
KS-7C,KD,1,stand
QC-9S,10S,1,stand
QD-5S,2C,1,stand
5D-5C,10C,1,hit
5D-5C-7C,10C,0,stand
AD-4S,6S,1,double down
5S-3D,3C,1,hit
5S-3D-3S,3C,0,hit
5S-3D-3S-8H,3C,0,stand
4D-8H,3H,1,hit
4D-8H-2C,3H,0,stand
4H-5C,3H,1,double down
3H-8D,9C,1,double down
4H-7S,6S,1,double down
4C-2S,6S,1,hit
4C-2S-7C,6S,0,stand
7S-4C,6C,1,double down
8C-4S,KS,1,hit
8C-4S-8D,KS,0,stand
9H-KH,6S,1,stand
QC-JH,10D,1,stand
2S-8D,QH,1,hit
2S-8D-7S,QH,0,stand
KD-6C,5S,1,stand
QS-4C,10H,1,hit
QS-4C-5C,10H,0,stand
7S-10H,7H,1,stand
2S-8S,QD,1,hit
2S-8S-2H,QD,0,hit
3S-AD,4S,1,hit
3S-AD-2C,4S,0,hit
3S-AD-2C-5D,4S,0,stand
4H-KH,6S,1,stand
2C-10H,AS,1,hit
2C-10H-9D,AS,0,stand
2H-KC,5H,1,stand
KC-7H,7D,1,stand
JC-10S,10D,1,stand
7S-QC,4C,1,stand
2H-3C,3S,1,hit
2H-3C-9C,3S,0,stand
8H-JC,10S,1,stand
9S-6C,5H,1,stand
QD-6H,KD,1,hit
QD-6H-4D,KD,0,stand
6D-5C,2H,1,double down
6H-7H,6C,1,stand
6S-3D,6C,1,double down
QS-4D,5C,1,stand
3C-5C,3H,1,hit
3C-5C-8S,3H,0,stand
10C-8C,8H,1,stand
4C-AH,3S,1,hit
4C-AH-KD,3S,0,stand
10H-2D,6D,1,stand
9H-3S,JC,1,hit
9H-3S-3D,JC,0,hit
QH-2S,2H,1,hit
6C-4C,2C,1,double down
6H-2D,2C,1,hit
6H-2D-6S,2C,0,stand
JC-3C,2H,1,stand
3C-10H,JD,1,hit
3C-10H-7C,JD,0,stand
QC-6H,4C,1,stand
QD-KC,6S,1,stand
7H-KS,AH,1,stand
8D-QH,JD,1,stand
9D-6D,10C,1,hit
4C-4S,2D,1,hit
4C-4S-9D,2D,0,stand
8H-4C,AH,1,hit
8C-KD,6C,1,stand
9C-AC,10C,1,stand
JD-QH,6H,1,stand
2S-9C,7C,1,double down
10H-2S,JS,1,hit
10H-2S-7D,JS,0,stand
8D-KH,6D,1,stand
2S-9H,9S,1,double down
QD-4D,3C,1,stand
9C-AS,3D,1,stand
8D-10C,7H,1,stand
QD-KS,8H,1,stand
7D-6H,2D,1,stand
8H-3D,9D,1,double down
7H-AH,6H,1,double down
9S-5H,QS,1,hit
9S-5H-7H,QS,0,stand
JD-7H,AH,1,stand
8C-7H,9D,1,hit
8C-7H-3S,9D,0,stand
9H-QD,QS,1,stand
5S-8S,KH,1,hit
5S-8S-2D,KH,0,hit
2C-QD,10D,1,hit
2C-QD-9H,10D,0,stand
4S-8H,4H,1,stand
6C-2D,9C,1,hit
6C-2D-10H,9C,0,stand
5D-5S,2S,1,double down
QS-5D,3C,1,stand
2H-9H,AD,1,double down
2S-5C,6H,1,hit
2S-5C-4H,6H,0,hit
2S-5C-4H-AS,6H,0,stand
3D-KH,9H,1,hit
3D-10H,QS,1,hit
3D-10H-7C,QS,0,stand
4H-3S,3D,1,hit
4H-3S-5D,3D,0,hit
4H-3S-5D-7C,3D,0,stand
8D-4C,4D,1,stand
7S-5S,QH,1,hit
3H-4S,4C,1,hit
3H-4S-9S,4C,0,stand
KS-10C,7H,1,stand
10S-10C,8D,1,stand
9S-2S,5D,1,double down
4H-9D,JS,1,hit
4H-9D-8D,JS,0,stand
QH-7H,9S,1,stand
7D-8C,AD,1,hit
2D-3S,8S,1,hit
2D-3S-9C,8S,0,hit
2D-3S-9C-4S,8S,0,stand
10H-3S,8C,1,hit
3D-10C,9S,1,hit
KD-6C,3D,1,stand
KS-2S,3C,1,hit
KS-2S-9C,3C,0,stand
KC-8D,7D,1,stand
10C-QH,2S,1,stand
4D-2D,8C,1,hit
4D-2D-9S,8C,0,hit
2D-5D,KS,1,hit
2D-5D-10S,KS,0,stand
2D-7D,8H,1,hit
2D-7D-KC,8H,0,stand
9S-4S,8S,1,hit
AD-7C,7D,1,stand
KH-7H,5S,1,stand
10S-10D,AH,1,stand
3S-4C,QC,1,hit
3S-4C-2C,QC,0,hit
3S-4C-2C-10D,QC,0,stand
3D-JS,7C,1,hit
3D-JS-6H,7C,0,stand
5S-6S,4S,1,double down
QD-QC,QS,1,stand
3D-9D,6D,1,stand
3C-4H,6H,1,hit
3C-4H-4S,6H,0,hit
3C-4H-4S-8H,6H,0,stand
5H-7H,9S,1,hit
5H-7H-6D,9S,0,stand
7C-10S,2D,1,stand
4S-QD,3C,1,stand
2C-7S,2D,1,hit
2C-7S-6D,2D,0,stand
3H-KD,7D,1,hit
3H-KD-6S,7D,0,stand
2S-AD,JD,1,hit
2S-AD-QS,JD,0,hit
10C-JC,8C,1,stand
2D-6S,8S,1,hit
2D-6S-KH,8S,0,stand
JS-QH,5H,1,stand
8D-6D,AD,1,hit
8D-6D-3H,AD,0,stand
2H-7S,2S,1,hit
2H-7S-10C,2S,0,stand
9D-JC,8D,1,stand
4D-8D,6S,1,stand
7D-8S,5S,1,stand
4D-6C,KD,1,hit
4D-6C-AS,KD,0,stand
6D-JD,4C,1,stand
JD-QC,AD,1,stand
8H-7S,KH,1,hit
8H-7S-2H,KH,0,stand
4S-QH,KC,1,hit
9S-10D,2H,1,stand
4D-8H,7C,1,hit
4D-8H-6C,7C,0,stand
9H-5D,7D,1,hit
5S-AC,7D,1,hit
5S-AC-5C,7D,0,stand
6C-QC,4H,1,stand
6C-JH,KS,1,hit
6C-10C,9H,1,hit
QC-JS,AC,1,stand
10D-JS,5C,1,stand
KH-KC,9C,1,stand
8H-KD,7S,1,stand
KC-7S,10C,1,stand
2S-5D,8D,1,hit
2S-5D-3S,8D,0,hit
2S-5D-3S-6S,8D,0,hit
AC-7D,3H,1,double down
9D-QC,KS,1,stand
QS-QD,QH,1,stand
5C-6S,3H,1,double down
8S-3D,9S,1,double down
QS-KH,4H,1,stand
QS-QC,6H,1,stand
KD-QS,QC,1,stand
QS-3D,QC,1,hit
6C-8C,QS,1,hit
6C-8C-7C,QS,0,stand
2C-3S,JD,1,hit
2C-3S-7H,JD,0,hit
2C-3S-7H-4C,JD,0,hit
8D-JS,5C,1,stand
5H-5S,7S,1,double down
5D-2S,6D,1,hit
5D-2S-QS,6D,0,stand
5C-8S,AH,1,hit
